In-State Tuition,Out-of-State Tuition,Median Earnings (10 yrs),School Name,State
10260.0,28092.0,52093.0,Metropolitan State University of Denver,CO
3930.0,15579.0,39429.0,Morgan Community College,CO
34600.0,34600.0,28720.0,Naropa University,CO
10002.0,10002.0,41450.0,Nazarene Bible College,CO
5345.0,7691.0,39893.0,Northeastern Junior College,CO
11332.0,24722.0,52231.0,University of Northern Colorado,CO
4226.0,6730.0,39018.0,Otero College,CO
4055.0,15714.0,40796.0,Pikes Peak State College,CO
4626.0,16275.0,37434.0,Pueblo Community College,CO
4471.0,16135.0,46288.0,Red Rocks Community College,CO
42220.0,42220.0,72105.0,Regis University,CO
22607.0,22607.0,42958.0,Rocky Mountain College of Art and Design,CO
,,44643.0,Montessori Education Center of the Rockies,CO
9245.0,16324.0,55563.0,Colorado State University Pueblo,CO
4930.0,8330.0,39210.0,Pickens Technical College,CO
,,42169.0,Intellitec College-Colorado Springs,CO
,,31541.0,Intellitec College-Grand Junction,CO
5194.0,8314.0,36475.0,Trinidad State College,CO
,,,United States Air Force Academy,CO
,,24397.0,Empire Beauty School-Thornton,CO
10813.0,22837.0,46833.0,Western Colorado University,CO
37682.0,37682.0,60144.0,Albertus Magnus College,CT
4772.0,14172.0,39551.0,Asnuntuck Community College,CT
10050.0,10050.0,,Bais Binyomin Academy,NY
35760.0,35760.0,50323.0,University of Bridgeport,CT
